,Token,Block,Rep,Duration,TimeAt,TimeSec,f0,F1,F2,F3,TRx,TRz,TBx,TBz,TTx,TTz,JAWx,JAWz,ULx,ULz,LLx,LLz,F1_mel,F2_mel,AcousVar,ArticVar,RescaleFactorAcous,RescaleFactorArtic,F1_grandmean,F2_grandmean,F1_norm,F2_norm,TRx_norm,TRz_norm,TBx_norm,TBz_norm,TTx_norm,TTz_norm,JAWx_norm,JAWz_norm,ULx_norm,ULz_norm,LLx_norm,LLz_norm
count,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0,306081.0
mean,25817.41962421712,5.9938251639271956,1.11608691816872,0.09317340115851687,0.5,1.0690113156321366,180.4168628565641,564.0790098045942,1704.4014888215863,2697.6419287704884,-48.28772374992242,-3.892209611508065,-32.42733606855701,-4.209310172143974,-17.294099093050534,-11.133523421904664,-2.5009651523616294,-22.989009024735278,10.082066554278116,2.6938042109768334,7.987986150071386,-27.667903880998825,657.5116229104402,1370.4887446858772,0.44638147296691766,0.7485245063509492,231.34171458594776,231.34171458594776,624.6282974548864,1409.768359652308,0.14272917623857814,-0.16968754303597738,-0.03991339101578298,-0.11482633568733042,-0.060601586101105526,-0.11058162937607753,-0.045110649871424255,-0.0213222276120315,-0.011699817911700983,-0.02396264326356958,-0.005028977132175982,-0.0039261213534753266,-0.015079188896584042,-0.01938856533405719
std,14952.135098559133,3.5441461686506135,0.3203296440247281,0.04817050285630009,0.32274913941269645,0.5539410722996281,68.28955628447223,159.32344138602468,455.9281759237866,473.77330287476826,6.554104203148182,5.3306949340528,5.922661866063887,5.680901167683274,4.842324459866188,4.829897234021348,2.897434485496687,3.673821300508557,2.116965620879299,3.056846201783088,3.829838527952466,4.143136861151202,137.72986258090071,213.75873197040542,0.3088360473241616,0.30338702337768464,12.826092811938423,12.826092811938423,38.32803959125506,46.00870922833737,0.5711948658856163,0.9120897640504156,0.3092861633237105,0.37146982362747627,0.3383707471995625,0.42168698071081895,0.37708844057187996,0.3760615017496871,0.11909212011344146,0.25470722409630003,0.11812770849429581,0.1165008764515371,0.1608242473931006,0.32091436850751237
min,0.0,1.0,1.0,0.03,0.0,0.0923,74.6,182.8,535.8,1281.0,-72.7295,-24.8401,-56.3686,-28.7271,-38.3853,-35.1347,-13.522,-44.9243,3.5146,-8.8569,-7.6945,-52.5675,261.4833182135607,640.5761414928653,0.00032472514508208317,0.08294064243185105,215.01620395378137,215.01620395378137,562.3182312738049,1327.7262190650226,-1.5883209453467642,-3.386505340447973,-1.5912006574929054,-1.9920806626800511,-1.6124320026105112,-1.995388512937292,-2.0332201266785326,-1.6261355786854848,-0.6710546450058701,-1.7431789862545863,-0.6394491042029208,-0.6578501542748659,-1.1039049837777068,-1.6820009867861654
25%,13062.0,3.0,1.0,0.0598,0.25,0.6066,125.3,445.8,1366.5,2400.9,-52.5944,-7.8013,-36.3448,-8.1937,-19.8337,-14.1395,-4.2382,-24.9515,8.4802,0.3312,5.2336,-30.0032,555.3579686487794,1220.006474121005,0.23413932560570266,0.5221692190195292,220.31451106816505,220.31451106816505,594.9300350650867,1374.9113798825847,-0.30064237938753946,-0.8038874234966503,-0.21919568699633724,-0.37968833526627693,-0.24774652078195755,-0.40365645250278315,-0.23554936105241328,-0.2661079991379698,-0.08423556701353695,-0.16361679175882102,-0.08736022776402773,-0.06678911868529142,-0.10556317352123683,-0.20469395988430852
50%,25766.0,6.0,1.0,0.0798,0.5,1.0069,174.8,555.9,1660.7,2721.7,-47.9779,-3.7379,-32.1332,-3.8586,-16.7011,-10.7491,-2.2016,-22.5514,10.2935,2.5067,7.7866,-27.2855,658.7589680008309,1370.011462240019,0.3809957340354964,0.7005908846921957,221.41749413807668,221.41749413807668,620.042526610228,1428.1289411876987,0.1778035524004202,-0.20900854121688273,-0.008504193795394997,-0.1385197080682654,-0.020835013315248906,-0.07842664476323596,0.01307750328809987,0.012886145104972236,-0.004427725662324332,0.01920254380762212,-0.015505333655299642,0.008665225339676359,-0.00237300310746944,-0.0015482359424435828
75%,38883.0,9.0,1.0,0.1197,0.75,1.4509,220.1,653.1,1988.3,3035.7,-43.5963,-0.2512,-28.1106,0.2618,-13.9211,-7.7019,-0.4374,-20.5077,11.612,5.3815,11.1203,-24.9241,742.771661204095,1516.4653008157645,0.5836717743532877,0.9291446076612984,242.57274320223917,242.57274320223917,656.4581077294047,1440.0265844171602,0.5392943609598833,0.4160294012136172,0.16399707056007687,0.16722677220999935,0.1735443103640788,0.2247967661410437,0.2176499105700134,0.25085575301629087,0.06835549667757829,0.1605228445146876,0.06553869207197363,0.07347170539346118,0.09107465929266227,0.19192306389364236
max,51933.0,12.0,2.0,0.4191,1.0,3.3828,499.9,1978.9,3242.2,4180.2,-25.8357,9.5182,-17.0808,9.9174,-3.5354,6.6197,5.2834,-14.6968,20.9886,13.2203,19.1456,-13.1862,1512.5177094725757,1947.9123922673873,4.719415555287061,2.845129341208386,249.3408269360871,249.3408269360871,683.8614538178186,1471.025396100807,4.173717864872866,2.401068207495799,1.3779695118726516,1.0035651729215211,1.0723548246165393,0.9061699959853409,1.1992620662585038,1.205990458339725,0.45559070198453017,0.6461439883995376,0.8755320799288375,0.5311888893149362,0.6793847285528792,1.14528203620693
